"id","time","topic","type","indicator","value","frequency","unit"
"BE10","2015-09-01","ERA5 Precipitation Monthy 10km","numerical","max","2.47","monthly","mm"
"BE10","2015-09-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.47","monthly","mm"
"BE21","2015-09-01","ERA5 Precipitation Monthy 10km","numerical","min","2.40","monthly","mm"
"BE21","2015-09-01","ERA5 Precipitation Monthy 10km","numerical","max","3.16","monthly","mm"
"BE21","2015-09-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.79","monthly","mm"
"BE22","2015-09-01","ERA5 Precipitation Monthy 10km","numerical","min","2.62","monthly","mm"
"BE22","2015-09-01","ERA5 Precipitation Monthy 10km","numerical","max","3.11","monthly","mm"
"BE22","2015-09-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.84","monthly","mm"
"BE23","2015-09-01","ERA5 Precipitation Monthy 10km","numerical","min","2.41","monthly","mm"
"BE23","2015-09-01","ERA5 Precipitation Monthy 10km","numerical","max","2.87","monthly","mm"
"BE23","2015-09-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.56","monthly","mm"
"BE33","2015-09-01","ERA5 Precipitation Monthy 10km","numerical","min","2.61","monthly","mm"
"BE33","2015-09-01","ERA5 Precipitation Monthy 10km","numerical","max","3.76","monthly","mm"
"BE33","2015-09-01","ERA5 Precipitation Monthy 10km","numerical","mean","3.19","monthly","mm"
"BE34","2015-09-01","ERA5 Precipitation Monthy 10km","numerical","min","3.06","monthly","mm"
"BE34","2015-09-01","ERA5 Precipitation Monthy 10km","numerical","max","4.33","monthly","mm"
"BE34","2015-09-01","ERA5 Precipitation Monthy 10km","numerical","mean","3.94","monthly","mm"
"BE35","2015-09-01","ERA5 Precipitation Monthy 10km","numerical","min","2.54","monthly","mm"
"BE35","2015-09-01","ERA5 Precipitation Monthy 10km","numerical","max","4.14","monthly","mm"
"BE35","2015-09-01","ERA5 Precipitation Monthy 10km","numerical","mean","3.04","monthly","mm"
"BE25","2015-09-01","ERA5 Precipitation Monthy 10km","numerical","min","2.32","monthly","mm"
